ISOCode,Year,AnnualGasemissions
SLV,1913,9076262.0
SLV,1914,9869405.0
SLV,1915,9876835.0
SLV,1916,9686619.0
SLV,1917,10344359.0
SLV,1918,9834379.0
SLV,1919,9350246.0
SLV,1920,8561988.0
SLV,1921,7601929.5
SLV,1922,6970703.5
SLV,1923,6655705.0
SLV,1924,6458646.0
SLV,1925,6166897.5
SLV,1926,5838348.5
SLV,1927,5604897.5
SLV,1928,5445380.5
SLV,1929,5210441.0
SLV,1930,5889950.0
SLV,1931,6579735.5
SLV,1932,7329635.5
SLV,1933,7509531.0
SLV,1934,8846317.0
SLV,1935,9426951.0
SLV,1936,8938526.0
SLV,1937,9487167.0
SLV,1938,10337977.0
SLV,1939,10257113.0
SLV,1940,10483280.0
SLV,1941,10948210.0
SLV,1942,11255129.0
SLV,1943,11367438.0
SLV,1944,11379288.0
SLV,1945,11276786.0
SLV,1946,12119819.0
SLV,1947,10396353.0
SLV,1948,10405463.0
SLV,1949,11076975.0
SLV,1950,11475382.0
SLV,1951,10843521.0
SLV,1952,10134847.0
SLV,1953,9899592.0
SLV,1954,9761856.0
SLV,1955,10344168.0
SLV,1956,10807382.0
SLV,1957,10519739.0
SLV,1958,10059056.0
SLV,1959,10773248.0
SLV,1960,9672527.0
SLV,1961,9723535.0
SLV,1962,9873511.0
SLV,1963,10406136.0
SLV,1964,9647666.0
SLV,1965,8982785.0
SLV,1966,8403932.0
SLV,1967,8797373.0
SLV,1968,7591518.5
SLV,1969,6991164.0
SLV,1970,11384753.0
SLV,1971,13342563.0
SLV,1972,12600930.0
SLV,1973,11699132.0
SLV,1974,11805362.0
SLV,1975,11370976.0
SLV,1976,12065116.0
SLV,1977,13717878.0
SLV,1978,15195672.0
SLV,1979,14183642.0
SLV,1980,11678813.0
SLV,1981,10358202.0
SLV,1982,9730891.0
SLV,1983,12735263.0
SLV,1984,10144755.0
SLV,1985,11527468.0
SLV,1986,11305655.0
SLV,1987,13020009.0
SLV,1988,9372616.0
SLV,1989,11014485.0
SLV,1990,12497024.0
SLV,1991,13295114.0
SLV,1992,12903723.0
SLV,1993,12984032.0
SLV,1994,14436515.0
SLV,1995,14102191.0
SLV,1996,14975056.0
SLV,1997,16312651.0
SLV,1998,16500734.0
SLV,1999,18413420.0
SLV,2000,19280374.0
SLV,2001,16810980.0
SLV,2002,17120718.0
SLV,2003,16126748.0
SLV,2004,14182362.0
SLV,2005,11409617.0
SLV,2006,12878599.0
SLV,2007,14417629.0
SLV,2008,13233962.0
SLV,2009,12625515.0
SLV,2010,12016746.0
SLV,2011,12480238.0
SLV,2012,12531291.0
SLV,2013,11475866.0
SLV,2014,11814812.0
SLV,2015,11602668.0
SLV,2016,10741003.0
SLV,2017,9822762.0
SLV,2018,10074696.0
SLV,2019,10468177.0
SLV,2020,8681462.0
SLV,2021,9658802.0
SLV,2022,9897980.0
GNQ,1850,212253.28
GNQ,1851,162656.69
GNQ,1852,97406.664
GNQ,1853,169047.39
GNQ,1854,153989.06
GNQ,1855,-205958.42
GNQ,1856,177046.11
GNQ,1857,-24831.146
GNQ,1858,-115100.79
GNQ,1859,-242558.12
GNQ,1860,-77370.22
GNQ,1861,204756.88
GNQ,1862,293428.25
GNQ,1863,319410.9
GNQ,1864,460497.94
GNQ,1865,372564.22
GNQ,1866,55744.117
GNQ,1867,464326.47
GNQ,1868,297676.94
GNQ,1869,242197.0
GNQ,1870,330129.97
GNQ,1871,153405.31
GNQ,1872,500304.03
GNQ,1873,333286.03
GNQ,1874,492489.22
GNQ,1875,360731.94
GNQ,1876,246481.4
GNQ,1877,94137.19
GNQ,1878,97446.53
